episode,timestep,elapsed_sec,ep_reward,ep_length,final_score,won,peace_win,defeated,rolling_reward_20,rolling_score_20,rolling_winrate_20
1,195,2.4,225.9,195,9390.0,1,0,0,225.9,9390.0,1.0
2,291,3.0,-79.58,96,2842.0,0,0,1,73.16,6116.0,0.5
3,399,4.2,-59.26,108,4874.0,0,0,1,29.02,5702.0,0.333
4,483,6.1,-72.81,84,3519.0,0,0,1,3.562,5156.2,0.25
5,687,9.9,215.74,204,8374.0,1,0,0,45.998,5799.8,0.4
6,783,11.5,-77.23,96,3077.0,0,0,1,25.46,5346.0,0.333
7,885,13.3,-74.04,102,3396.0,0,0,1,11.246,5067.4,0.286
8,1083,16.9,278.54,198,10654.0,1,0,0,44.657,5765.8,0.375
9,1182,18.2,-75.66,99,3234.0,0,0,1,31.289,5484.4,0.333
10,1275,19.4,-78.45,93,2955.0,0,0,1,20.315,5231.5,0.3
11,1371,21.1,-80.1,96,2790.0,0,0,1,11.186,5009.5,0.273
12,1470,23.3,-79.93,99,2807.0,0,0,1,3.593,4826.0,0.25
13,1566,24.5,-64.76,96,4324.0,0,0,1,-1.665,4787.4,0.231
14,1668,25.6,-61.83,102,4617.0,0,0,1,-5.962,4775.2,0.214
15,1896,29.9,211.64,228,9964.0,1,0,0,8.545,5121.1,0.267
16,1995,31.9,-78.16,99,2984.0,0,0,1,3.126,4987.6,0.25
17,2097,37.3,-66.31,102,4169.0,0,0,1,-0.959,4939.4,0.235
18,2196,39.3,-72.21,99,3579.0,0,0,1,-4.917,4863.8,0.222
19,2409,43.0,262.13,213,9013.0,1,0,0,9.138,5082.2,0.263
20,2493,43.6,-81.42,84,2658.0,0,0,1,4.61,4961.0,0.25
21,2712,44.9,288.27,219,11627.0,1,0,0,7.728,5072.9,0.25
22,2826,45.7,-56.09,114,5191.0,0,0,1,8.903,5190.3,0.25
23,3048,49.1,225.37,222,9337.0,1,0,0,23.134,5413.4,0.3
24,3153,51.0,-73.72,105,3428.0,0,0,1,23.089,5408.9,0.3
25,3255,52.7,-75.47,102,3253.0,0,0,1,8.528,5152.9,0.25
26,3366,54.6,-55.91,111,5209.0,0,0,1,9.595,5259.4,0.25
27,3480,56.5,-55.28,114,5272.0,0,0,1,10.532,5353.2,0.25
28,3579,58.2,-80.26,99,2774.0,0,0,1,-7.408,4959.2,0.2
29,3675,59.8,-72.63,96,3537.0,0,0,1,-7.256,4974.4,0.2
30,3780,61.6,-73.07,105,3493.0,0,0,1,-6.987,5001.3,0.2
31,3876,62.7,-79.32,96,2868.0,0,0,1,-6.948,5005.2,0.2
32,3996,63.9,-50.11,120,5789.0,0,0,1,-5.457,5154.3,0.2
33,4092,65.3,-82.11,96,2589.0,0,0,1,-6.325,5067.6,0.2
34,4305,71.1,233.47,213,10147.0,1,0,0,8.441,5344.1,0.25
35,4389,72.5,-69.3,84,3870.0,0,0,1,-5.607,5039.4,0.2
36,4473,73.8,-78.64,84,2936.0,0,0,1,-5.63,5036.9,0.2
37,4578,75.5,-76.99,105,3101.0,0,0,1,-6.165,4983.6,0.2
38,4662,76.7,-80.46,84,2754.0,0,0,1,-6.577,4942.3,0.2
39,4764,77.8,-78.03,102,2997.0,0,0,1,-23.585,4641.5,0.15
40,4869,78.9,-65.85,105,4215.0,0,0,1,-22.806,4719.4,0.15
41,4977,80.7,-74.41,108,3359.0,0,0,1,-40.941,4305.9,0.1
42,5082,82.3,-55.51,105,5249.0,0,0,1,-40.911,4308.9,0.1
43,5271,85.4,275.13,189,10313.0,1,0,0,-38.423,4357.6,0.1
44,5388,87.3,-49.64,117,5836.0,0,0,1,-37.219,4478.1,0.1
45,5625,91.1,196.78,237,8478.0,1,0,0,-23.607,4739.3,0.15
46,5841,95.2,249.62,216,9762.0,1,0,0,-8.331,4966.9,0.2
47,6033,98.8,257.0,192,10500.0,1,0,0,7.283,5228.4,0.25
48,6258,106.0,299.13,225,12713.0,1,0,0,26.253,5725.3,0.3
49,6462,109.1,237.25,204,8525.0,1,0,0,41.747,5974.7,0.35
50,6648,112.7,250.85,186,9885.0,1,0,0,57.943,6294.3,0.4
51,6750,114.2,-68.16,102,3984.0,0,0,1,58.501,6350.1,0.4
52,6966,117.2,209.33,216,9733.0,1,0,0,71.473,6547.3,0.45
53,7050,119.8,-89.71,84,1829.0,0,0,1,71.093,6509.3,0.45
54,7260,123.1,257.43,210,8543.0,1,0,0,72.291,6429.1,0.45
55,7473,127.2,258.7,213,8670.0,1,0,0,88.691,6669.1,0.5
56,7680,129.9,232.94,207,8094.0,1,0,0,104.27,6927.0,0.55
57,7779,131.0,-79.72,99,2828.0,0,0,1,104.133,6913.4,0.55
58,7917,132.7,-19.64,138,6836.0,0,0,1,107.175,7117.4,0.55
59,8010,134.5,-91.65,93,1635.0,0,0,1,106.494,7049.4,0.55
60,8211,141.1,272.62,201,12062.0,1,0,0,123.417,7441.7,0.6
61,8316,143.2,-75.59,105,3241.0,0,0,1,123.358,7435.8,0.6
62,8511,147.0,242.97,195,9097.0,1,0,0,138.282,7628.2,0.65
63,8595,148.6,-82.83,84,2517.0,0,0,1,120.384,7238.4,0.6
64,8817,152.6,303.27,222,13127.0,1,0,0,138.029,7602.9,0.65
65,8919,154.3,-74.18,102,3382.0,0,0,1,124.482,7348.1,0.6
66,9054,156.5,-49.16,135,5884.0,0,0,1,109.543,7154.2,0.55
67,9162,158.4,-60.91,108,4709.0,0,0,1,93.647,6864.7,0.5
68,9348,161.5,274.84,186,10284.0,1,0,0,92.432,6743.2,0.5
69,9558,165.0,245.15,210,9315.0,1,0,0,92.827,6782.8,0.5
70,9657,166.5,-76.1,99,3190.0,0,0,1,76.48,6448.0,0.45
71,9855,169.8,261.7,198,10970.0,1,0,0,92.973,6797.3,0.5
72,9945,171.4,-70.45,90,3755.0,0,0,1,78.984,6498.4,0.45
73,10134,174.5,260.03,189,8803.0,1,0,0,96.471,6847.1,0.5
74,10347,181.5,239.91,213,10791.0,1,0,0,95.595,6959.5,0.5
75,10506,184.7,6.14,159,7414.0,0,0,1,82.967,6896.7,0.45
76,10695,188.4,232.77,189,8077.0,1,0,0,82.959,6895.9,0.45
77,10860,191.6,238.9,165,8690.0,1,0,0,98.89,7188.9,0.5
78,11049,195.3,221.74,189,8974.0,1,0,0,110.959,7295.9,0.55
79,11142,197.1,-80.21,93,2779.0,0,0,1,111.53,7353.1,0.55
80,11313,200.5,211.76,171,7976.0,1,0,0,108.487,7148.8,0.55
81,11415,202.5,-74.98,102,3302.0,0,0,1,108.518,7151.8,0.55
82,11619,206.4,286.13,204,11413.0,1,0,0,110.676,7267.6,0.55
83,11730,208.4,-74.82,111,3318.0,0,0,1,111.076,7307.6,0.55
84,11919,211.6,292.31,189,12031.0,1,0,0,110.529,7252.9,0.55
85,12003,213.0,-85.73,84,2227.0,0,0,1,109.951,7195.1,0.55
86,12192,216.2,276.5,189,10450.0,1,0,0,126.234,7423.4,0.6
87,12291,220.8,-72.42,99,3558.0,0,0,1,125.658,7365.9,0.6
88,12393,222.9,-62.54,102,4546.0,0,0,1,108.79,7078.9,0.55
89,12498,224.9,-65.59,105,4241.0,0,0,1,93.252,6825.2,0.5
90,12591,226.8,-75.57,93,3243.0,0,0,1,93.279,6827.9,0.5
91,12696,228.9,-62.17,105,4583.0,0,0,1,77.085,6508.6,0.45
92,12885,232.7,260.55,189,10855.0,1,0,0,93.636,6863.6,0.5
93,13047,236.0,245.38,162,9338.0,1,0,0,92.903,6890.3,0.5
94,13221,239.5,271.26,174,9926.0,1,0,0,94.471,6847.1,0.5
95,13401,242.9,236.87,180,10487.0,1,0,0,106.007,7000.7,0.55
96,13590,246.7,256.2,189,10420.0,1,0,0,107.179,7117.9,0.55
97,13692,248.7,-60.61,102,4739.0,0,0,1,92.203,6920.3,0.5
98,13884,252.5,246.15,192,9415.0,1,0,0,93.424,6942.4,0.5
99,13986,254.6,-69.79,102,3821.0,0,0,1,93.945,6994.4,0.5
100,14181,258.4,294.58,195,12258.0,1,0,0,98.086,7208.6,0.5
101,14286,260.5,-84.32,105,2368.0,0,0,1,97.619,7161.9,0.5
102,14394,265.5,-68.88,108,3912.0,0,0,1,79.868,6786.8,0.45
103,14478,267.2,-81.39,84,2661.0,0,0,1,79.539,6753.9,0.45
104,14691,271.7,223.12,213,9112.0,1,0,0,76.08,6608.0,0.45
